Schema Name,View Name,Column Name,Datatype,Change Type,New View,New Column,New Datatype,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Management_and_Governance_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Microsoft_Syntex_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Mixed_Reality_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Mobile_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Networking_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Other_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Power_Platform_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Quantum_Computing_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Security_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Storage_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Unknown_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Web_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Windows_Virtual_Desktop_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Deployment_Count,bigint,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,EA_Expiration_Revenue,float,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,EA_NotRenewed_Revenue,float,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Solution_Workspaces_Engagement_Count_Digitally_Transitioned,varchar,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Data_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Dynamics_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Telecommunications_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Test_Service_Family_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Data_-_Cross_Functional_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_MDC_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Security_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Data_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Dynamics_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Telecommunications_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Test_Service_Family_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Data_-_Cross_Functional_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_MDC_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Security_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Data_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Dynamics_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Telecommunications_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Test_Service_Family_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Data_-_Cross_Functional_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_MDC_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Azure_Security_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Data_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart,Az_Derivatives_Dynamics_AzureAppInnovationCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,CSP_BilledRevenue,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_AI_+_Machine_Learning_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Analytics_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Arc_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Communication_Services_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Stack_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Blockchain_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Compute_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Containers_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Databases_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Developer_Tools_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Gaming_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Integration_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Internet_of_Things_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Management_and_Governance_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Microsoft_Syntex_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mixed_Reality_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mobile_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Networking_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Other_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Power_Platform_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Quantum_Computing_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Security_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Storage_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Unknown_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Web_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Windows_Virtual_Desktop_ACR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_AI_+_Machine_Learning_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Analytics_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Arc_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Communication_Services_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Stack_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Blockchain_DataAICR,decimal,Deprecate,,,,,
