Workbook: c:\WorkFAST-main\in\GPSMart_views_FY27_localcopy.xlsx
Sheet count: 4
====================================================================================================
SHEET: Summary (Arch)
Rows: 30  Cols: 14
----------------------------------------------------------------------------------------------------
[R56] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Windows_Virtual_Desktop_AzureAppInnovationCR | decimal | Deprecate |  |  |  |  | 
[R57] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_AI_+_Machine_Learning_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R58] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Analytics_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R59] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Arc_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R60] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Communication_Services_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R61] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Stack_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R62] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Blockchain_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R63] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Compute_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R64] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Containers_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R65] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Databases_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R66] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Developer_Tools_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R67] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Gaming_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R68] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Integration_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R69] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Internet_of_Things_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R70] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Management_and_Governance_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R71] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Microsoft_Syntex_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R72] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Mixed_Reality_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R73] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Mobile_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R74] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Networking_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R75] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Other_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R76] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Power_Platform_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R77] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Quantum_Computing_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R78] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Security_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R79] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Storage_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R80] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Unknown_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R81] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Web_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R82] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Windows_Virtual_Desktop_AzureInfraCR | decimal | Deprecate |  |  |  |  | 
[R83] analytics | vw_Fact_AnalyticsMart | Az_Deployment_Count | bigint | Deprecate |  |  |  |  | 
[R84] analytics | vw_Fact_AnalyticsMart | EA_Expiration_Revenue | float | Deprecate |  |  |  |  | 
[R85] analytics | vw_Fact_AnalyticsMart | EA_NotRenewed_Revenue | float | Deprecate |  |  |  |  | 
[R86] analytics | vw_Fact_AnalyticsMart | Solution_Workspaces_Engagement_Count_Digitally_Transitioned | varchar | Deprecate |  |  |  |  | 
[R87] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Data_ACR | decimal | Deprecate |  |  |  |  | 
[R88] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Dynamics_ACR | decimal | Deprecate |  |  |  |  | 
[R89] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Telecommunications_ACR | decimal | Deprecate |  |  |  |  | 
[R90] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Test_Service_Family_ACR | decimal | Deprecate |  |  |  |  | 
[R91] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Data_-_Cross_Functional_DataAICR | decimal | Deprecate |  |  |  |  | 
[R92] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_MDC_DataAICR | decimal | Deprecate |  |  |  |  | 
[R93] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Security_DataAICR | decimal | Deprecate |  |  |  |  | 
[R94] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Data_DataAICR | decimal | Deprecate |  |  |  |  | 
[R95] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Dynamics_DataAICR | decimal | Deprecate |  |  |  |  | 
[R96] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Telecommunications_DataAICR | decimal | Deprecate |  |  |  |  | 
[R97] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Test_Service_Family_DataAICR | decimal | Deprecate |  |  |  |  | 
[R98] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Data_-_Cross_Functional_AzureSecurityCR | decimal | Deprecate |  |  |  |  | 
[R99] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_MDC_AzureSecurityCR | decimal | Deprecate |  |  |  |  | 
[R100] analytics | vw_Fact_AnalyticsMart | Az_Derivatives_Azure_Security_AzureSecurityCR | decimal | Deprecate |  |  |  |  | 
